X,Y
-13199338.7928,4034783.6157
-13199419.3072,4034763.2342
-13199276.3228,4034871.7019
-13199294.823,4034863.6938
-13199315.3493,4034857.9328
-13199376.0488,4034771.825
-13199442.7074,4034758.6397
-13208780.0051,4034074.1224
-13208799.7496,4034070.8595
-13208754.2368,4034066.9274
-13204916.4583,4034566.1088
-13198085.8617,4035079.3879
-13204914.0303,4034646.9497
-13204844.8848,4034639.1839
-13204875.0913,4034595.9543
-13198382.6443,4034410.3431
-13198327.2967,4034367.0798
-13198369.8481,4034579.2043
-13198379.4973,4034602.1856
-13198392.3572,4034583.4566
-13198401.2619,4034610.6464
-13198411.7314,4034597.5379
-13194848.4256,4033776.4098
-13194840.5699,4033799.9536
-13194812.2604,4033988.9621
-13194800.1686,4034002.5108
-13199574.6052,4034652.3952
-13198459.0124,4034457.9853
-13198336.4856,4034387.0279
-13198178.175,4035047.0421
-13198468.5717,4034958.7421
-13198431.0068,4035022.0469
-13198488.9393,4035008.1945
-13198554.6344,4035046.0916
-13198528.9221,4034977.2588
-13198612.8497,4034998.167
-13198585.3418,4034893.1583
-13198311.8464,4035003.4689
-13198335.5083,4034998.2552
-13199558.4735,4034660.0462
-13207170.1693,4034286.9157
-13199090.3662,4034720.5286
-13204820.0868,4034713.0458
-13204804.1977,4034743.3084
-13204784.4593,4034716.3774
-13204756.3531,4034757.8368
-13199537.9418,4034665.5052
-13194776.9367,4034018.7335
-13194790.2384,4034010.4779
-13199114.4208,4034715.4091
-13207100.5577,4034195.4472
-13207068.9599,4034181.3168
-13207042.9195,4034222.8402
-13207057.497,4034202.5175
-13207024.9342,4034197.3696
-13207139.0218,4034205.0
-13207121.4984,4034201.3555
-13194865.6575,4033939.1712
-13194730.7855,4034104.1877
-13194726.5015,4034123.2303
-13194756.3108,4034141.3687
-13194762.089,4034129.8699
-13194770.9784,4034120.3154
-13199128.2198,4034701.4845
-13199155.9598,4034705.6365
-13199871.4596,4034764.0406
-13199813.4288,4034789.16
-13199689.6804,4034830.7959
-13199711.5077,4034782.3348
-13199764.976,4034748.0255
-13199821.4285,4034720.1146
-13199922.5889,4034594.7529
-13199867.3603,4034621.8092
-13199820.0835,4034662.8821
-13199755.3272,4034622.3317
-13199866.0733,4034557.1925
-13199902.2769,4034536.734
-13199948.4315,4034395.4793
-13199888.9768,4034379.6448
-13199811.1728,4034406.8229
-13199764.6878,4034446.9638
-13199677.1948,4034496.6958
-13199621.4697,4034525.122
-13199579.6453,4034538.5336
-13204797.0187,4034659.3118
-13204852.7663,4034708.0008
-13204857.4302,4034729.1427
-13204693.6097,4034723.2245
-13206958.1664,4034186.28
-13199902.9043,4034737.4986
-13199851.3406,4034771.7391
-13199798.5228,4034799.675
-13199762.4706,4034819.1537
-13199691.6099,4034852.7808
-13199729.2385,4034768.5276
-13199801.2017,4034728.0975
-13199856.6934,4034697.4479
-13199907.0582,4034662.0351
-13199937.722,4034627.8882
-13199946.013,4034588.8148
-13199885.4811,4034611.9799
-13199842.7851,4034650.8959
-13199813.1845,4034596.764
-13199849.2089,4034570.9591
-13199932.8311,4034537.8645
-13199909.1364,4034382.0784
-13199848.2416,4034389.6215
-13199799.7668,4034423.1785
-13199746.5955,4034454.0163
-13199693.5843,4034486.3634
-13199637.4371,4034510.6887
-13199889.4054,4034751.9265
-13199833.5541,4034782.7261
-13199781.4306,4034809.6193
-13199694.795,4034876.3549
-13199698.1652,4034807.9169
